

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
Max,,1000.00,2863.14,0.0076
Min,,1000.00,2723.70,0.0003
Range,,0.00,139.44,0.0073
Mean,,1000.00,2787.39,0.0034
StdD,,0.00,32.28,0.0018
%StdD,,0.00,1.16,53.5175
%NonU,,0.00,2.50,107.8652
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:30:54 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 17
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2643.12,0.0041,0.000,0.000
,2,1000.00,2659.77,0.0048,0.000,49.000
,3,1000.00,2673.68,0.0039,34.648,34.648
,4,1000.00,2678.75,0.0044,49.000,0.000
,5,1000.00,2674.79,0.0041,34.648,-34.648
,6,1000.00,2667.47,0.0034,0.000,-49.000
,7,1000.00,2654.75,0.0052,-34.648,-34.648
,8,1000.00,2645.13,0.0054,-49.000,-0.000
,9,1000.00,2647.21,0.0047,-34.648,34.648
,10,1000.00,2716.16,0.0028,0.000,98.000
,11,1000.00,2733.57,0.0044,37.503,90.540
,12,1000.00,2748.57,0.0055,69.296,69.297
,13,1000.00,2756.97,0.0052,90.540,37.503
,14,1000.00,2755.75,0.0059,98.000,0.000
,15,1000.00,2742.67,0.0074,90.540,-37.503
,16,1000.00,2737.76,0.0057,69.297,-69.296
,17,1000.00,2733.59,0.0037,37.503,-90.540
,18,1000.00,2731.55,0.0031,0.000,-98.000
,19,1000.00,2718.60,0.0033,-37.503,-90.540
,20,1000.00,2703.17,0.0040,-69.296,-69.297
,21,1000.00,2691.17,0.0036,-90.540,-37.503
,22,1000.00,2679.60,0.0013,-98.000,-0.000
,23,1000.00,2679.23,0.0004,-90.540,37.503
